sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct,leg,entry_ts,exit_ts
120859,138,144,-1,1.9810653923435135,1.0,target,6.337601611665377,0.002,RULE:ta_C,2016-01-04 23:30:00+00:00,2016-01-05 09:15:00+00:00
122060,139,144,-1,1.957386749048246,1.0,target,14.549464923527012,0.004,RULE:ta_C,2016-01-05 00:15:00+00:00,2016-01-05 09:15:00+00:00
120862,139,141,-1,-1.0923579667275534,1.0,stop,5.359580960245694,0.002,RULE:ta_C,2016-01-05 00:15:00+00:00,2016-01-05 03:00:00+00:00
120862,139,141,-1,-1.118479411862619,1.0,stop,5.359580960245694,0.002,RULE:ta_C,2016-01-05 00:15:00+00:00,2016-01-05 03:00:00+00:00
122061,140,141,-1,-1.102581743369896,1.0,stop,13.355202933722468,0.004,RULE:ta_C,2016-01-05 00:30:00+00:00,2016-01-05 03:00:00+00:00
122073,142,143,-1,1.932503133454466,1.0,target,9.185611595491537,0.004,RULE:ta_C,2016-01-05 03:30:00+00:00,2016-01-05 06:00:00+00:00
122367,147,148,-1,1.959180120746385,1.0,target,15.188677951444332,0.004,RULE:ta_C,2016-01-08 07:30:00+00:00,2016-01-08 11:30:00+00:00
121168,147,148,-1,1.9595693210006528,1.0,target,6.430760166164873,0.002,RULE:ta_C,2016-01-08 07:30:00+00:00,2016-01-08 11:30:00+00:00
121168,147,148,-1,1.981339686615686,1.0,target,6.430760166164873,0.002,RULE:ta_C,2016-01-08 07:30:00+00:00,2016-01-08 11:30:00+00:00
150229,149,150,1,-1.122059318863308,1.0,stop,0.0010650559188003,0.0025,RULE:smc_B,2016-01-18 23:45:00+00:00,2016-01-19 00:15:00+00:00
150641,151,152,-1,-1.1185969848829582,1.0,stop,0.0010961492834611,0.0025,RULE:smc_B,2016-01-25 06:45:00+00:00,2016-01-25 07:30:00+00:00
123370,153,156,1,1.9568468289320544,1.0,target,14.367426185755903,0.004,RULE:ta_C,2016-01-25 08:45:00+00:00,2016-01-25 18:00:00+00:00
122169,154,155,1,-1.0769668552020248,1.0,stop,6.431339811152611,0.002,RULE:ta_C,2016-01-25 09:00:00+00:00,2016-01-25 15:30:00+00:00
122169,154,155,1,-1.0987352586935064,1.0,stop,6.431339811152611,0.002,RULE:ta_C,2016-01-25 09:00:00+00:00,2016-01-25 15:30:00+00:00
123476,157,158,-1,-1.0729148067790264,1.0,stop,18.78905068146014,0.004,RULE:ta_C,2016-01-26 12:00:00+00:00,2016-01-26 15:30:00+00:00
123648,159,160,-1,1.9616223102871535,1.0,target,16.15521946836907,0.004,RULE:ta_C,2016-01-28 09:00:00+00:00,2016-01-28 11:30:00+00:00
122811,161,162,-1,-1.080435953454235,1.0,stop,6.153964474128316,0.002,RULE:ta_C,2016-02-03 08:45:00+00:00,2016-02-03 13:45:00+00:00
122811,161,162,-1,-1.1031855160473518,1.0,stop,6.153964474128316,0.002,RULE:ta_C,2016-02-03 08:45:00+00:00,2016-02-03 13:45:00+00:00
124090,163,164,-1,1.9475093544153173,1.0,target,11.811628397668755,0.004,RULE:ta_C,2016-02-04 04:30:00+00:00,2016-02-04 09:00:00+00:00
122919,165,166,1,-1.0725419542593626,1.0,stop,6.823637508168076,0.002,RULE:ta_C,2016-02-04 12:45:00+00:00,2016-02-04 13:00:00+00:00
122919,165,166,1,-1.093058870615546,1.0,stop,6.823637508168076,0.002,RULE:ta_C,2016-02-04 12:45:00+00:00,2016-02-04 13:00:00+00:00
152251,167,168,1,1.959776342717811,1.0,target,0.001988879316437,0.0025,RULE:smc_B,2016-02-17 01:15:00+00:00,2016-02-17 07:15:00+00:00
125015,169,170,1,1.9503938557611915,1.0,target,12.49845174451093,0.004,RULE:ta_C,2016-02-18 09:00:00+00:00,2016-02-18 10:45:00+00:00
123807,169,170,1,1.944438983384492,1.0,target,4.679540005526633,0.002,RULE:ta_C,2016-02-18 09:00:00+00:00,2016-02-18 10:45:00+00:00
123807,169,170,1,1.9743564538697655,1.0,target,4.679540005526633,0.002,RULE:ta_C,2016-02-18 09:00:00+00:00,2016-02-18 10:45:00+00:00
123837,171,172,1,-1.079113554944742,1.0,stop,8.026437447331546,0.002,RULE:ta_C,2016-02-18 16:30:00+00:00,2016-02-19 11:45:00+00:00
123837,171,172,1,-1.0616711963742478,1.0,stop,8.026437447331546,0.002,RULE:ta_C,2016-02-18 16:30:00+00:00,2016-02-19 11:45:00+00:00
124054,173,175,1,-1.1434436470204348,1.0,stop,3.4508325065764893,0.002,RULE:ta_C,2016-02-23 02:00:00+00:00,2016-02-23 08:15:00+00:00
124054,173,175,1,-1.1840135673898506,1.0,stop,3.4508325065764893,0.002,RULE:ta_C,2016-02-23 02:00:00+00:00,2016-02-23 08:15:00+00:00
125274,174,176,1,1.9276619611191683,1.0,target,8.570871004968467,0.004,RULE:ta_C,2016-02-23 04:30:00+00:00,2016-02-23 12:00:00+00:00
152738,177,178,1,-1.0697151076662743,1.0,stop,0.0018647321126206,0.0025,RULE:smc_B,2016-02-24 03:00:00+00:00,2016-02-24 07:45:00+00:00
125682,179,179,-1,-1.092085328561625,1.0,stop,14.877505693897549,0.004,RULE:ta_C,2016-02-29 14:30:00+00:00,2016-02-29 14:30:00+00:00
153747,180,181,1,-1.042266902394282,1.0,stop,0.0030756926255777,0.0025,RULE:smc_B,2016-03-09 15:15:00+00:00,2016-03-10 12:45:00+00:00
125445,182,183,1,-1.2512921384432014,1.0,stop,2.5269393779444727,0.002,RULE:ta_C,2016-03-15 05:30:00+00:00,2016-03-15 08:15:00+00:00
125445,182,183,1,-1.1958891472903697,1.0,stop,2.5269393779444727,0.002,RULE:ta_C,2016-03-15 05:30:00+00:00,2016-03-15 08:15:00+00:00
126869,184,185,1,1.9585695427466636,1.0,target,14.964836043417565,0.004,RULE:ta_C,2016-03-17 11:45:00+00:00,2016-03-17 17:30:00+00:00
127348,186,187,-1,-1.0920669555057487,1.0,stop,14.880474677089296,0.004,RULE:ta_C,2016-03-24 16:15:00+00:00,2016-03-27 23:00:00+00:00
127900,188,189,1,-1.1045260987237553,1.0,stop,13.106774448940996,0.004,RULE:ta_C,2016-04-04 16:30:00+00:00,2016-04-05 01:45:00+00:00
155573,190,194,1,-1.0366602333745651,1.0,stop,0.0035460767167483,0.0025,RULE:smc_B,2016-04-05 15:45:00+00:00,2016-04-06 12:15:00+00:00
128039,191,192,-1,1.900673981323835,1.0,target,6.242070388640059,0.004,RULE:ta_C,2016-04-06 05:00:00+00:00,2016-04-06 08:00:00+00:00
126815,191,193,-1,1.956034835453984,1.0,target,2.729433660470022,0.002,RULE:ta_C,2016-04-06 05:00:00+00:00,2016-04-06 09:15:00+00:00
126815,191,193,-1,1.904742143483632,1.0,target,2.729433660470022,0.002,RULE:ta_C,2016-04-06 05:00:00+00:00,2016-04-06 09:15:00+00:00
127690,195,197,1,1.976649784256039,1.0,target,5.139138812070087,0.002,RULE:ta_C,2016-04-19 17:30:00+00:00,2016-04-20 16:15:00+00:00
127690,195,197,1,1.9494078658880845,1.0,target,5.139138812070087,0.002,RULE:ta_C,2016-04-19 17:30:00+00:00,2016-04-20 16:15:00+00:00
128989,196,197,-1,-1.1355610310852915,1.0,stop,10.106149156817992,0.004,RULE:ta_C,2016-04-20 12:45:00+00:00,2016-04-20 16:15:00+00:00
129302,198,199,-1,-1.1399465834539129,1.0,stop,9.78944941840018,0.004,RULE:ta_C,2016-04-25 23:15:00+00:00,2016-04-26 02:30:00+00:00
129724,200,203,-1,1.9131633202549263,1.0,target,7.139840005630504,0.004,RULE:ta_C,2016-05-02 12:45:00+00:00,2016-05-02 15:00:00+00:00
128501,200,204,-1,-1.2436587518341022,1.0,stop,2.606103803865608,0.002,RULE:ta_C,2016-05-02 12:45:00+00:00,2016-05-02 15:15:00+00:00
128501,200,204,-1,-1.1899387120596543,1.0,stop,2.606103803865608,0.002,RULE:ta_C,2016-05-02 12:45:00+00:00,2016-05-02 15:15:00+00:00
157391,201,202,-1,-1.045152690329936,1.0,stop,0.0028791196947552,0.0025,RULE:smc_B,2016-05-02 14:15:00+00:00,2016-05-02 14:45:00+00:00
129749,205,206,-1,-1.0988680610429988,1.0,stop,13.856851095766617,0.004,RULE:ta_C,2016-05-02 19:00:00+00:00,2016-05-02 19:45:00+00:00
157575,207,208,1,-1.045568283502993,1.0,stop,0.0028528614643026,0.0025,RULE:smc_B,2016-05-04 12:15:00+00:00,2016-05-04 15:00:00+00:00
129965,209,210,-1,-1.2537631077283775,1.0,stop,5.398735900832435,0.004,RULE:ta_C,2016-05-05 03:45:00+00:00,2016-05-05 07:30:00+00:00
157824,211,212,1,-1.0736600345537353,1.0,stop,0.0017648647708041,0.0025,RULE:smc_B,2016-05-09 02:30:00+00:00,2016-05-09 12:15:00+00:00
129434,213,213,-1,-1.128031444107433,1.0,stop,4.959719109839625,0.002,RULE:ta_C,2016-05-16 15:45:00+00:00,2016-05-16 15:45:00+00:00
129434,213,213,-1,-1.0998040391073691,1.0,stop,4.959719109839625,0.002,RULE:ta_C,2016-05-16 15:45:00+00:00,2016-05-16 15:45:00+00:00
130734,214,218,1,-1.161018318764928,1.0,stop,8.508348680500603,0.004,RULE:ta_C,2016-05-17 12:30:00+00:00,2016-05-17 14:30:00+00:00
130735,215,216,1,-1.1786280331586725,1.0,stop,7.669568856435035,0.004,RULE:ta_C,2016-05-17 12:45:00+00:00,2016-05-17 13:30:00+00:00
129516,217,218,1,-1.1933071413110088,1.0,stop,3.28492778742384,0.002,RULE:ta_C,2016-05-17 14:00:00+00:00,2016-05-17 14:30:00+00:00
