sig_i,entry_i,exit_i,dir,R,conviction,reason,dist,risk_pct
160985,160986,161011,-1,4.0,0.5,target,2.404124292077313,0.005
161290,161291,161466,-1,4.0,1.0,target,7.112717231332454,0.005
161907,161908,161915,1,-1.0927592687240297,0.5,stop,2.4256336115511203,0.005
162108,162109,162190,1,-1.0544447514126019,0.75,stop,4.132629760668351,0.005
162279,162280,162295,-1,-1.0695034020905505,0.75,stop,3.2372516054217613,0.005
162758,162759,162760,1,-1.0585151884295476,1.0,stop,3.845155523523772,0.005
163471,163472,163472,1,-1.2260334827841477,0.75,stop,0.9954277447238837,0.005
163579,163580,163613,1,-1.0330223492830841,0.5,stop,6.8135673228787255,0.005
163769,163770,163770,-1,-1.0610377204289174,0.5,stop,3.686245135283798,0.005
164403,164404,164407,1,-1.0510330509657684,0.75,stop,4.408907477446974,0.0025
165166,165167,165185,1,-1.1137178070783302,0.75,stop,1.9785819457890739,0.0025
165391,165392,165397,-1,-1.0422402907448425,0.75,stop,5.326667881124422,0.0025
165500,165501,165669,-1,-1.0522957113160978,0.5,stop,4.302456058775306,0.0025
166783,166784,166840,1,3.0,0.75,target,2.814097443515948,0.0025
166936,166937,166945,1,-1.1131499849593078,0.75,stop,1.9885110906627688,0.0025
167236,167237,167242,-1,-1.0384578001735194,0.75,stop,5.850568648875424,0.0025
167507,167508,167508,1,-1.0882886490544312,0.5,stop,2.5484589741677155,0.0025
167795,167796,167801,-1,-1.0498369369322997,1.25,stop,4.514723693905125,0.0025
169705,169706,169706,1,-1.129253700736178,0.5,stop,1.7407625369207835,0.0025
170016,170017,170068,1,-1.0561607634476906,1.0,stop,4.006355793390867,0.0025
171234,171235,171236,1,-1.1000113182984548,0.75,stop,2.2497453671039693,0.0025
171801,171802,171824,1,-1.0918281970617039,1.0,stop,2.4502277862291066,0.0025
171865,171866,171913,-1,-1.069566252898609,0.75,stop,3.234326855693098,0.0025
172566,172567,172570,1,-1.0453411909135493,0.5,stop,4.962375170711994,0.0025
172735,172736,172743,1,-1.0748245522401747,1.0,stop,3.007034365908339,0.0025
172909,172910,172950,-1,3.0,0.5,target,2.4111605497507753,0.0025
173258,173259,173259,1,-1.192043828532716,0.75,stop,1.1716075529163845,0.0025
173300,173301,173313,-1,-1.0915345982570577,0.5,stop,2.458086934167113,0.0025
174005,174006,174018,-1,-1.101070275575951,0.5,stop,2.226173805480812,0.0025
174210,174211,174279,-1,-1.071419941874059,0.5,stop,3.1503806093355706,0.0025
174655,174656,174780,-1,-1.0646232905824558,0.75,stop,3.481716854279057,0.0025
174847,174848,174850,1,-1.107763362053253,0.75,stop,2.087908132345774,0.0025
175299,175300,175303,1,-1.121572467324908,0.5,stop,1.8507479937754852,0.0025
175575,175576,175733,1,3.0,0.5,target,3.78760325609187,0.0025
176198,176199,176217,-1,-1.0911925678958014,0.5,stop,2.467306329798703,0.0025
176499,176500,176564,-1,-1.0667564505738554,1.0,stop,3.37046080289997,0.0025
176946,176947,176965,-1,-1.0573255485300794,0.5,stop,3.9249515402691486,0.0025
177371,177372,177402,-1,3.0,0.75,target,2.91614486947924,0.0025
177587,177588,177677,-1,3.0,0.75,target,2.7216017702094177,0.0025
177790,177791,177793,1,-1.040374963622389,0.5,stop,5.572760438975138,0.0025
179161,179162,179170,-1,-1.074083667075722,0.75,stop,3.037106677912334,0.0025
179227,179228,179265,1,-1.0619834173885103,0.75,stop,3.630003144060538,0.0025
179268,179269,179319,-1,-1.0667304757403049,0.5,stop,3.371772754558833,0.0025
179514,179515,179515,-1,-1.0900358910275216,0.5,stop,2.4990034244358412,0.0025
179603,179604,179796,1,1.2544127008878967,0.5,time,6.497064318809407,0.0025
180405,180406,180408,1,-1.0961804861392084,0.5,stop,2.3393518688837958,0.0025
180706,180707,180899,1,1.5514591788131722,0.5,time,5.626960811613799,0.0025
182099,182100,182104,1,-1.0476961256807849,0.5,stop,4.717364288784438,0.0025
182280,182281,182364,-1,-1.0482501462077263,0.75,stop,4.663198304752086,0.0025
182453,182454,182552,-1,-1.0752407840739906,0.5,stop,2.990399459137052,0.0025
182829,182830,182924,-1,-1.0457100851186951,0.75,stop,4.922327302949725,0.0025
183340,183341,183342,-1,-1.1076911260659348,0.5,stop,2.089308638690909,0.0025
183825,183826,183827,-1,-1.058396375985067,0.5,stop,3.852978822820205,0.0025
183920,183921,184011,-1,3.0,0.75,target,4.952218579415103,0.0025
184125,184126,184131,-1,-1.0770941615195988,0.5,stop,2.9185089449699717,0.0025
184470,184471,184483,1,3.0,0.5,target,3.195228498015922,0.0025
185561,185562,185598,1,-1.1878447208547056,0.5,stop,1.1977978352340415,0.0025
185676,185677,185677,1,-1.1032053616613555,0.5,stop,2.1801192920402173,0.0025
