ts,open,high,low,close
2016-05-26,109.632,110.207,109.53,109.908
2016-05-27,109.906,110.445,109.474,110.247
2016-05-29,110.396,111.023,110.362,110.966
2016-05-30,110.964,111.446,110.795,111.075
2016-05-31,111.077,111.349,110.418,110.727
2016-06-01,110.729,110.767,108.828,108.951
2016-06-02,108.949,109.311,108.524,108.882
2016-06-03,108.884,109.024,106.465,106.465
2016-06-05,106.551,107.048,106.365,107.048
2016-06-06,107.042,107.818,106.837,107.739
2016-06-07,107.741,107.903,106.72,106.908
2016-06-08,106.906,107.277,106.518,106.572
2016-06-09,106.578,107.259,106.257,107.153
2016-06-10,107.151,107.216,106.556,106.924
2016-06-12,106.81,106.859,106.069,106.2
2016-06-13,106.198,106.578,105.735,105.958
2016-06-14,105.961,106.306,105.626,106.247
2016-06-15,106.247,106.397,104.527,104.831
2016-06-16,104.832,104.868,103.55,104.51
2016-06-17,104.511,104.616,104.083,104.125
2016-06-19,104.679,104.842,104.41,104.631
2016-06-20,104.633,104.8,103.585,103.977
2016-06-21,103.979,105.054,103.921,104.468
2016-06-22,104.466,104.971,104.313,104.624
2016-06-23,104.622,106.812,98.979,101.551
2016-06-24,101.557,103.242,99.922,102.144
2016-06-26,101.508,102.471,101.497,101.786
2016-06-27,101.785,102.183,101.396,102.051
2016-06-28,102.051,102.84,101.776,102.463
2016-06-29,102.465,103.013,102.172,102.755
2016-06-30,102.754,103.396,102.361,102.901
2016-07-01,102.903,102.929,102.442,102.498
2016-07-03,102.598,102.744,102.418,102.738
2016-07-04,102.74,102.801,102.004,102.117
2016-07-05,102.117,102.182,100.579,100.744
2016-07-06,100.743,101.462,100.199,100.94
2016-07-07,100.94,101.228,100.596,100.704
2016-07-08,100.702,101.277,99.991,100.505
2016-07-10,100.613,100.873,100.532,100.703
2016-07-11,100.702,103.284,100.638,102.962
2016-07-12,102.964,104.985,102.882,104.191
2016-07-13,104.188,104.861,103.899,104.631
2016-07-14,104.631,106.314,104.532,106.191
2016-07-15,106.191,106.292,104.625,104.825
2016-07-17,105.32,106.009,105.313,105.532
2016-07-18,105.533,106.327,105.27,105.941
2016-07-19,105.941,106.529,105.646,106.037
2016-07-20,106.037,107.49,105.913,107.171
2016-07-21,107.172,107.267,105.421,105.771
2016-07-22,105.768,106.398,105.639,106.061
2016-07-24,106.12,106.721,106.087,106.478
2016-07-25,106.478,106.482,104.624,104.823
2016-07-26,104.826,105.558,103.99,105.55
2016-07-27,105.549,106.54,104.637,104.908
2016-07-28,104.908,105.504,103.364,104.655
2016-07-29,104.662,105.608,101.968,102.03
2016-07-31,102.268,102.682,102.004,102.571
2016-08-01,102.578,102.828,102.115,102.608
2016-08-02,102.607,102.638,100.678,101.221
2016-08-03,101.223,101.567,100.747,101.073
2016-08-04,101.078,101.665,100.998,101.137
2016-08-05,101.138,102.058,100.871,101.803
2016-08-07,101.977,102.258,101.859,102.039
2016-08-08,102.045,102.655,101.927,102.377
2016-08-09,102.374,102.509,101.156,101.357
2016-08-10,101.355,101.555,100.966,101.228
2016-08-11,101.226,102.202,101.167,102.025
2016-08-12,102.023,102.269,100.831,101.269
2016-08-14,101.143,101.451,101.115,101.345
2016-08-15,101.343,101.357,100.529,100.615
2016-08-16,100.612,100.678,99.54,100.555
2016-08-17,100.553,101.163,99.644,100.042
2016-08-18,100.038,100.492,99.735,100.237
