ts,open,high,low,close
2015-05-11,1.11572,1.11961,1.1131,1.11617
2015-05-12,1.11617,1.12788,1.11533,1.12354
2015-05-13,1.12354,1.13826,1.12027,1.1346
2015-05-14,1.13461,1.14445,1.13437,1.14052
2015-05-15,1.14052,1.14667,1.13241,1.14482
2015-05-17,1.14469,1.14494,1.1419,1.14331
2015-05-18,1.1433,1.14467,1.12852,1.12962
2015-05-19,1.12961,1.13208,1.11186,1.11439
2015-05-20,1.11438,1.11462,1.10626,1.11231
2015-05-21,1.11231,1.11814,1.10799,1.11344
2015-05-22,1.11345,1.12082,1.10021,1.10103
2015-05-24,1.10029,1.10095,1.09651,1.09873
2015-05-25,1.09872,1.1008,1.0931,1.095
2015-05-26,1.09499,1.09507,1.08632,1.0876
2015-05-27,1.08761,1.09291,1.08192,1.08927
2015-05-28,1.08931,1.09744,1.0867,1.09526
2015-05-29,1.09524,1.10059,1.09257,1.09912
2015-05-31,1.09802,1.09881,1.09305,1.09505
2015-06-01,1.09506,1.09789,1.08872,1.09264
2015-06-02,1.09264,1.11942,1.09181,1.11596
2015-06-03,1.11597,1.12853,1.10793,1.12656
2015-06-04,1.12656,1.13797,1.11798,1.12122
2015-06-05,1.12121,1.128,1.10492,1.1111
2015-06-07,1.10972,1.11122,1.10841,1.11006
2015-06-08,1.11005,1.13346,1.10871,1.13212
2015-06-09,1.13212,1.13451,1.1214,1.12845
2015-06-10,1.12846,1.13863,1.12601,1.1302
2015-06-11,1.1302,1.13313,1.11817,1.12552
2015-06-12,1.12551,1.12965,1.11511,1.12618
2015-06-14,1.12104,1.12318,1.11949,1.12079
2015-06-15,1.12079,1.12945,1.11891,1.12722
2015-06-16,1.1272,1.13298,1.1205,1.12534
2015-06-17,1.12533,1.13723,1.12064,1.13608
2015-06-18,1.13608,1.14362,1.13382,1.13744
2015-06-19,1.13743,1.13767,1.12919,1.13487
2015-06-21,1.13771,1.13852,1.13574,1.13765
2015-06-22,1.13763,1.14101,1.12549,1.126
2015-06-23,1.126,1.12832,1.11351,1.11857
2015-06-24,1.11857,1.12352,1.11687,1.12153
2015-06-25,1.12154,1.12275,1.11536,1.1188
2015-06-26,1.1188,1.12197,1.11302,1.11661
2015-06-28,1.10036,1.10326,1.0953,1.10115
2015-06-29,1.10116,1.12785,1.0985,1.11853
2015-06-30,1.11854,1.1244,1.11121,1.11351
2015-07-01,1.11347,1.11722,1.10323,1.10711
2015-07-02,1.10711,1.11212,1.10479,1.10922
2015-07-03,1.10924,1.11178,1.10658,1.11128
2015-07-05,1.09905,1.10565,1.0969,1.10421
2015-07-06,1.1042,1.10953,1.10016,1.10329
2015-07-07,1.10327,1.10514,1.09163,1.09844
2015-07-08,1.09844,1.10925,1.09809,1.10731
2015-07-09,1.1073,1.11246,1.09914,1.10956
2015-07-10,1.10955,1.12158,1.10787,1.115
2015-07-12,1.1094,1.11444,1.10934,1.11291
2015-07-13,1.1129,1.11971,1.09737,1.10052
2015-07-14,1.10053,1.10836,1.09657,1.09967
2015-07-15,1.09966,1.10355,1.09121,1.0932
2015-07-16,1.09322,1.09485,1.08553,1.08944
2015-07-17,1.08944,1.0907,1.08267,1.08269
2015-07-19,1.08295,1.08437,1.08207,1.0824
2015-07-20,1.08241,1.087,1.08082,1.08331
2015-07-21,1.08329,1.09684,1.08115,1.09257
2015-07-22,1.09263,1.09669,1.08696,1.09481
2015-07-23,1.09481,1.10177,1.09233,1.09735
2015-07-24,1.09736,1.09956,1.09252,1.09816
2015-07-26,1.09814,1.10097,1.09689,1.10094
2015-07-27,1.10093,1.11294,1.09985,1.10827
2015-07-28,1.10827,1.10849,1.10221,1.10817
2015-07-29,1.10825,1.10829,1.09592,1.09751
2015-07-30,1.09751,1.09847,1.08932,1.09424
2015-07-31,1.09424,1.11139,1.09211,1.09826
2015-08-02,1.09706,1.09846,1.09653,1.09736
2015-08-03,1.09737,1.09958,1.09323,1.09474
2015-08-04,1.09472,1.09875,1.08483,1.08607
2015-08-05,1.08606,1.0938,1.0848,1.0906
2015-08-06,1.0906,1.09435,1.08733,1.09218
2015-08-07,1.09216,1.09783,1.08553,1.09649
2015-08-09,1.09626,1.09739,1.09501,1.09627
2015-08-10,1.09624,1.10413,1.09251,1.09738
2015-08-11,1.0974,1.10883,1.09605,1.106
2015-08-12,1.10598,1.12138,1.10551,1.11346
2015-08-13,1.11346,1.11655,1.10801,1.11398
2015-08-14,1.114,1.11888,1.10978,1.11082
2015-08-16,1.11154,1.11214,1.10913,1.10951
2015-08-17,1.10952,1.11248,1.10587,1.10793
2015-08-18,1.10794,1.10938,1.1017,1.10469
2015-08-19,1.10468,1.11485,1.10176,1.11321
2015-08-20,1.1132,1.12787,1.1107,1.12724
2015-08-21,1.12727,1.13888,1.12407,1.13819
2015-08-23,1.13761,1.14951,1.13692,1.14723
2015-08-24,1.14723,1.1714,1.142,1.15322
2015-08-25,1.15324,1.1578,1.13964,1.15243
2015-08-26,1.15244,1.15319,1.12912,1.13362
2015-08-27,1.13363,1.1364,1.12029,1.12603
2015-08-28,1.12605,1.13097,1.1156,1.11819
2015-08-30,1.11723,1.12457,1.11699,1.12408
2015-08-31,1.12401,1.12773,1.11802,1.12701
2015-09-01,1.12702,1.13319,1.12333,1.12844
2015-09-02,1.12843,1.12941,1.12053,1.12161
2015-09-03,1.12158,1.12433,1.10872,1.11252
2015-09-04,1.11258,1.11887,1.10882,1.11487
2015-09-06,1.11618,1.11742,1.11422,1.11527
2015-09-07,1.11528,1.11776,1.11213,1.11655
2015-09-08,1.1165,1.12295,1.11524,1.11746
2015-09-09,1.11746,1.12448,1.11317,1.1211
2015-09-10,1.1211,1.1302,1.11716,1.12819
2015-09-11,1.12816,1.13496,1.1254,1.13375
2015-09-13,1.1331,1.13594,1.13244,1.13432
2015-09-14,1.13434,1.13729,1.12834,1.13186
2015-09-15,1.13186,1.13285,1.12587,1.12892
2015-09-16,1.12891,1.13203,1.1214,1.1306
2015-09-17,1.13059,1.14411,1.12844,1.14069
2015-09-18,1.14069,1.14599,1.12692,1.12969
2015-09-20,1.1281,1.13145,1.12808,1.13095
2015-09-21,1.13094,1.13299,1.11811,1.12005
2015-09-22,1.12005,1.12075,1.1105,1.1132
2015-09-23,1.1132,1.12133,1.11073,1.11866
2015-09-24,1.1187,1.12959,1.11602,1.11743
2015-09-25,1.11743,1.12131,1.11163,1.11967
2015-09-27,1.11853,1.12143,1.11838,1.11998
2015-09-28,1.11997,1.12637,1.11469,1.12552
2015-09-29,1.12555,1.12813,1.11941,1.12553
2015-09-30,1.12554,1.12604,1.11546,1.11655
2015-10-01,1.11654,1.12089,1.11349,1.11894
2015-10-02,1.11894,1.13183,1.11503,1.121
2015-10-04,1.12185,1.12469,1.1207,1.12392
2015-10-05,1.12391,1.12891,1.11719,1.11783
2015-10-06,1.11784,1.12794,1.11727,1.12707
2015-10-07,1.12707,1.12842,1.12113,1.12508
2015-10-08,1.12508,1.13268,1.12381,1.12785
2015-10-09,1.12785,1.13872,1.12721,1.13555
2015-10-11,1.13602,1.13778,1.13543,1.1373
2015-10-12,1.1373,1.13968,1.13443,1.13611
2015-10-13,1.13611,1.14108,1.13553,1.13914
2015-10-14,1.13912,1.14896,1.13832,1.1489
2015-10-15,1.14892,1.14953,1.13588,1.13765
2015-10-16,1.13764,1.13948,1.13342,1.13459
2015-10-18,1.13576,1.1378,1.13514,1.13621
2015-10-19,1.13621,1.1379,1.13058,1.13356
2015-10-20,1.13358,1.13869,1.1324,1.13588
2015-10-21,1.13589,1.13775,1.13297,1.13451
