instrument,dir,entry_date,entry_px,exit_date,exit_px,days_held,pts_net,pct_net
XAUUSD,LONG,2017-12-20,1263.79,2018-03-09,1317.96,79,53.72,4.251
XAUUSD,SHORT,2018-03-09,1317.96,2018-03-22,1330.16,13,-12.65,-0.96
XAUUSD,LONG,2018-03-22,1330.16,2018-06-27,1254.13,97,-76.48,-5.75
XAUUSD,SHORT,2018-06-27,1254.13,2018-12-25,1268.765,181,-15.085,-1.203
XAUUSD,LONG,2018-12-25,1268.765,2020-03-19,1469.188,450,199.973,15.761
XAUUSD,SHORT,2020-03-19,1469.188,2020-03-22,1503.768,3,-35.03,-2.384
XAUUSD,LONG,2020-03-22,1503.768,2020-03-23,1493.385,1,-10.833,-0.72
XAUUSD,SHORT,2020-03-23,1493.385,2020-03-24,1571.428,1,-78.493,-5.256
XAUUSD,LONG,2020-03-24,1571.428,2021-01-27,1847.317,309,275.439,17.528
XAUUSD,SHORT,2021-01-27,1847.317,2021-05-21,1872.315,114,-25.448,-1.378
XAUUSD,LONG,2021-05-21,1872.315,2021-05-24,1883.225,3,10.46,0.559
XAUUSD,SHORT,2021-05-24,1883.225,2021-05-26,1906.518,2,-23.743,-1.261
XAUUSD,LONG,2021-05-26,1906.518,2021-06-16,1856.248,21,-50.72,-2.66
XAUUSD,SHORT,2021-06-16,1856.248,2021-08-24,1802.788,69,53.01,2.856
XAUUSD,LONG,2021-08-24,1802.788,2021-11-21,1846.534,89,43.296,2.402
